typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerISO,partnerDesc,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,customsCode,customsDesc,motDesc,qty,altQty,netWgt,grossWgt,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,62,Apparel and clothing accessories; not knitted or crocheted,2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,38551530945,,38551530945,0,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,70,Glass and glassware,2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,,0.0,7824466292,,7824466292,0,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,72,Iron and steel,2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,22460117481,,22460117481,4,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,,0.0,315350474948,,315350474948,0,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,,0.0,335582652015,,335582652015,0,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,,0.0,284712023471,,284712023471,0,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,,0.0,80548281541,,80548281541,0,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,,0.0,63153427370,,63153427370,0,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,96,Miscellaneous manufactured articles,2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,,0.0,6703163750,,6703163750,0,False
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,W00,World,W00,World,H5,HS,True,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,204019056862,0.0,204019056862,4,False
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,W00,World,W00,World,H5,HS,True,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,11530696556,0.0,11530696556,4,False
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,W00,World,W00,World,H5,HS,True,39,Plastics and articles thereof,2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,54722639703,0.0,54722639703,4,False
